title,slug,year,work_type,confidence,primary_source,notes,discovery_status
Braća Kumerle,braca-kumerle,2019,song,probable,youtube_corpus,YT:xdgom7QItq8 | live/performance context | YT:H62ko3KrSVs | YT:QeNd7IbWGRY | YT:nVfcgfJY-n4 | YT:ZO2TDR8-ds4 | YT:bm_Vg2DuLMI | YT:ei9KOTzdoWg | YT:2BfSlu5n-A8 | YT:K9Bc5VXOoGQ | YT:VBHV3DL9kw4 | YT:VxrFssBa_Go | YT:JJ0WY6c-p1Y | YT:UBVe9a6pg8I | YT:lY9kimoSlb0 | YT:eCMN02oeO0U | YT:geFGX-TRLNM,candidate
Mate Bulić - Domu mom,mate-bulic-domu-mom,2018,song,probable,youtube_corpus,YT:-4KDf_fauUI | cover performance,candidate
Šoram snjegovića,soram-snjegovica,2018,song,probable,youtube_corpus,YT:LW0Om2bBluc | live/performance context,candidate
Obale se tope,obale-se-tope,2018,song,probable,youtube_corpus,YT:NOd5DcwBB-w,candidate
Tužni odlazak,tuzni-odlazak,2018,song,probable,youtube_corpus,YT:AzIAgVPLglo,candidate
Noćima,nocima,2017,song,probable,youtube_corpus,YT:tm5xcd-tEKg,candidate
Vlak,vlak,2017,song,probable,youtube_corpus,YT:tlXIQyi9tPk | live/performance context | YT:RKxeAaIqHMI,candidate
Sadašnji Trenutak,sadasnji-trenutak,2017,song,probable,youtube_corpus,YT:570Z7nd9DnM,candidate
Mon Ami Live,mon-ami-live,2017,song,probable,youtube_corpus,YT:i3kU-6rPVFU | live/performance context,candidate
Himna Veslačkog Kluba Zagreb,himna-veslackog-kluba-zagreb,2016,song,probable,youtube_corpus,YT:4VEgzZOOz0I,candidate
i Migranti,i-migranti,2016,song,probable,youtube_corpus,YT:saci9JTd0Kk,candidate
Susjedova vila,susjedova-vila,2016,song,probable,youtube_corpus,YT:vXlovhrX1lI,candidate
Ćelavi škembići,celavi-skembici,2016,song,probable,youtube_corpus,YT:OXbbZ3siV2o,candidate
Ježeva molitva,jezeva-molitva,2013,song,probable,youtube_corpus,YT:aOqcm-aABF8,candidate
Oo da sa krilima,oo-da-sa-krilima,2013,song,probable,youtube_corpus,YT:cX1TgmIcM1M,candidate
Pink Floyd - On the turning away,pink-floyd-on-the-turning-away,2012,song,probable,youtube_corpus,YT:etL9H3v1zjA | cover performance,candidate
Ljeto Ide Majko,ljeto-ide-majko,2012,song,probable,youtube_corpus,YT:YRZ9NpV6LMs | YT:9lDdkKGzAwI,candidate
Roadrunner,roadrunner,2012,song,probable,youtube_corpus,YT:1NBy512CpaM | YT:3ti5apKeDEg,candidate
iZLET feat. Ante Cash - Nemam Ni Jednog Prijatelja Policajca,izlet-feat-ante-cash-nemam-ni-jednog-prijatelja-policajca,2012,song,probable,youtube_corpus,YT:FYYSZX601uw,candidate
Ludi Gadovi,ludi-gadovi,2012,song,probable,youtube_corpus,YT:LPsDeZYTXxs,candidate
iZLET feat. 3 Gosta - Zetovac,izlet-feat-3-gosta-zetovac,2012,song,probable,youtube_corpus,YT:SP_Nka-LYwE,candidate
Možda Su U Šumi,mozda-su-u-sumi,2012,song,probable,youtube_corpus,YT:j_oPnn2_iUI,candidate
Zetovac,zetovac,2012,song,probable,youtube_corpus,YT:WryChY9304U,candidate
Spasi me,spasi-me,2011,song,probable,youtube_corpus,YT:hhLKTaqshvE,candidate
So Sweet - VISKI STRIP ft. Toni Kumerle,so-sweet-viski-strip-ft-toni-kumerle,2011,song,probable,youtube_corpus,YT:QQ6xhW2Z1J0,candidate
Ljeto u Maximiru - Zagrebačka Ljetna Rock Himna,ljeto-u-maximiru-zagrebacka-ljetna-rock-himna,2010,song,probable,youtube_corpus,YT:Ri0cJPe72uc,candidate
